user,task,attempt,start_time,text_system,text_user,asr_hypothesis,speaker,rating,asr_confidence,asr_time,barge-in,n_sys_words,n_user_words,sysTurnDuration,userTurnDuration,system_speech_act,WER,WER_moved,num_turns,num_sorry,mean_WER,mean_asr_conf,sum_barge,mean_sys_words,SSA_sorry,SSA_info,SSA_confirm
6,1,1,0,"#NS Herzlich Willkommen beim Kundenservice der Telekom, Schön dass Sie unser Kunde sind, Dieser Anruf ist kostenfrei, Sie können bei mir wie bei einem Kundenberater Ihre Tarifeinstellungen ändern und sich informieren, Sie steuern mich indem Sie mit mir sprechen, Wenn Sie wollen unterbrechen Sie mich einfach, Bitte nennen Sie mir jetzt Ihr Anliegen,",,,s,,,,0,53,,23,,ASKFORINFO WELCOME NAV,,,,,,,,,0,0,0
6,1,1,23,,"Ich will meine Bonuspunkte wissen,",ich will mein bonus punkten kosten,u,,51,27,0,,5,,2,,0.5,,,,,,,,,,
6,1,1,27,"Sie sind für Xtra-Bonus registriert, Ihr aktueller Punktestand neununddreißig Komma fünf, Günstige Handys gibt es auch für Xtra-Kunden, Melden Sie sich hier bei mir für Xtra-Bonus an und sparen Sie gleich beim nächsten Handykauf richtig Geld, Und so funktioniert's, Bei jeder Aufladung Ihrer Xtra-Karte bekommen Sie Rabattpunkte, So erhalten Sie zum Beispiel bei fünfzig angesammelten Punkten fünfzig Prozent Rabatt beim Kauf eines neuen Handys, Wünschen Sie zu diesem Thema noch zusätzliche Informationen?",,,s,,,,0,72,,32,,INFO,,0.5,,,,,,,0,1,0
6,1,1,59,,"Ja,",ja,u,,73,62,0,,1,,2,,0,,,,,,,,,,
6,1,1,63,"Den Xtra-Bonus-Punktestand können Sie einfach bei mir abfragen, Sagen Sie dazu Xtra-Bonus-Punktestand, Oder Sie rufen Ihn per Code ab, Geben Sie dazu folgende Tastenkombination in Ihr Handy ein, Stern eins fünf null Raute, Anschließend drücken Sie die Sendetaste und schon wird Ihnen der aktuelle Punktestand auf Ihrem Handy angezeigt, Soweit die Informationen vom Sprachportal, Weitere Informationen finden Sie im Internet unter w_ w_ w_ Punkt Telekom Punkt d_ e_ Schrägstrich Mobilfunk, #NS Sie befinden sich nun wieder am Start, Was kann ich noch für Sie tun?",,,s,,,,0,86,,38,,ASKFORINFO NAV,,0,5,0,0.25,62,0,70.3333333333,0,0,0
7,1,3,0,"#NS Herzlich Willkommen beim Kundenservice der Telekom, Schön dass Sie unser Kunde sind, Dieser Anruf ist kostenfrei, Sie können bei mir wie bei einem Kundenberater Ihre Tarifeinstellungen ändern und sich informieren, Sie steuern mich indem Sie mit mir sprechen, Wenn Sie wollen unterbrechen Sie mich einfach, Bitte nennen Sie mir jetzt Ihr Anliegen,",,,s,,,,0,53,,23,,ASKFORINFO WELCOME NAV,,,,,,,,,0,0,0
7,1,3,23,,"Punktestand,",bonus programm,u,,66,25,0,,1,,1,,1,,,,,,,,,,
7,1,3,26,"Vielen Dank für Ihre Anfrage, Um Ihr Xtra-Guthaben abzufragen oder aufzuladen möchten wir Sie jedoch bitten den Kontoservice anzurufen, Sie erreichen diesen Dienst von Ihrem Handy aus unter der Kurzwahl zweitausend, #NS Sie befinden sich nun wieder am Start, Was kann ich noch für Sie tun?",,,s,,,,0,46,,19,,ASKFORINFO NAV,,1,,,,,,,0,0,0
7,1,3,45,,"Punkteprogramm,",,u,,0,,0,,1,,3,,0,,,,,,,,,,
7,1,3,51,"Derzeit bieten wir kein aktuelles Bonusprogramm an, #NS Sie befinden sich nun wieder am Start, Was kann ich noch für Sie tun? Bitte treffen Sie Ihre Wahl, Meine folgenden Ansagen können Sie jederzeit durch Ihre Spracheingabe unterbrechen, Sie haben hier die Möglichkeit folgende Einstellungen Ihrer Telekom-Mobilfunkkarte zu ändern, Tarif Tarifoption Xtra Nonstop Plus Xtra Weekend Xtra Data Xtra Web'n'Walk Starter Bonusprogramme",,,s,,,,0,61,,36,,INFO ASKFORINFO NAV,,0,,,,,,,0,1,0
7,1,3,87,Xtra Roaming,"Bonusprogramme,",ich mochte mein bonus punktestand nutzen,s u,,57,90,1,2,1,2,2,,5,,,,,,,,,,
7,1,3,92,"Derzeit bieten wir kein aktuelles Bonusprogramm an, #NS",,,s,,,,0,8,,4,,INFO,,5,,,,,,,0,1,0
7,1,3,97,"Sie befinden sich nun wieder am Start, Was kann ich noch für Sie tun?",,,s,,,,0,14,,4,,ASKFORINFO NAV,,,,,,,,,0,0,0
7,1,3,106,"Bitte treffen Sie Ihre Wahl, Meine folgenden Ansagen können Sie jederzeit durch Ihre Spracheingabe unterbrechen,",,,s,,,,0,15,,7,,ASKFORINFO,,,,,,,,,0,0,0
7,1,3,113,Sie haben,"Ich möchte meinen Bonuspunktestand wissen,",,u s,,0,,1,2,5,2,2,,0.8333333333,,,,,,,,,,
7,1,3,116,"Sie sind für Xtra-Bonus registriert, Ihr aktueller Punktestand neununddreißig Komma fünf,",,,s,,,,0,11,,7,,INFO,,0.8333333333,,,,,,,0,1,0
7,1,3,123,,Na Punktestand hab' ich doch auch ge-,,u,,0,,0,,7,,2,,0.8571428571,,,,,,,,,,
7,1,3,128,"Entschuldigung ich konnte Sie leider nicht verstehen, Am besten nennen Sie mir ein Stichwort oder einen kurzen Satz, Bitte wieder-",,,s,,,,0,20,,7,,SORRY ASKFORINFO,,0.8571428571,13,1,1.5380952381,24.6,2,23.2,1,0,0
8,1,1,0,"#NS Herzlich Willkommen beim Kundenservice der Telekom, Schön dass Sie unser Kunde sind, Dieser Anruf ist kostenfrei, Sie können bei mir wie bei einem Kundenberater Ihre Tarifeinstellungen ändern und sich informieren, Sie steuern mich indem Sie mit mir sprechen, Wenn Sie wollen unterbrechen Sie mich einfach, Bitte nennen Sie mir jetzt Ihr Anliegen,",,,s,,,,0,53,,22,,ASKFORINFO WELCOME NAV,,,,,,,,,0,0,0
8,1,1,22,,"Bonuspunkteprogramm,",bonus punkte programm,u,,69,28,0,,1,,3,,0,,,,,,,,,,
8,1,1,28,"Derzeit bieten wir kein aktuelles Bonusprogramm an, #NS Sie befinden sich nun wieder am Start, Was kann ich noch für Sie tun?",,,s,,,,0,22,,10,,INFO ASKFORINFO NAV,,0,,,,,,,0,1,0
8,1,1,38,,"Ähm Bonuspunkte,",haben bonus punkte,u,,70,43,0,,2,,2,,0,,,,,,,,,,
8,1,1,43,"Oh ich sehe grade Sie sind bereits für Xtra-Bonus registriert, #NS Sie befinden sich nun wieder am Start, Was kann ich noch für Sie tun?",,,s,,,,0,25,,11,,ASKFORINFO NAV,,0,,,,,,,0,0,0
8,1,1,54,,"Anzahl Bonuspunkte,",eines preis bonus punkte,u,,61,58,0,,2,,3,,0.3333333333,,,,,,,,,,
8,1,1,58,"Sie sind für Xtra-Bonus registriert, Ihr aktueller Punktestand neununddreißig Komma fünf, Günstige Handys gibt es auch für Xtra-Kunden, Melden Sie sich hier bei mir für Xtra-Bonus an und sparen Sie gleich beim nächsten Handykauf richtig Geld, Und so funktioniert's, Bei jeder Aufladung Ihrer Xtra-Karte bekommen Sie Rabattpunkte,",,,s,,,,0,47,,21,,INFO,,0.3333333333,,,,,,,0,1,0
8,1,1,79,"So erhalten Sie zum Beispiel bei fünfzig angesammelten Punkten fünfzig Prozent Rabatt beim Kauf eines neuen Handys,",Könnt ich jetzt auch einfach auflegen oder soll ich weiter telefonieren? #BG,,u s,2,0,,1,17,12,7,7,,0.9166666667,,8,0,0.1111111111,50,1,32.8,,,
8,1,1,86,Wünschen Sie zu diesem Thema noch zusätzliche I-,,,s,2,,,0,8,,3,,,,0.9166666667,0,0,,,0,,,,
